"z","Points:0","Points:1","Points:2"
-7010.7,1.6593e+05,71000,0
-6945.9,1.67e+05,71459,0
-6744.2,1.69e+05,72315,0
-6753.5,1.706e+05,73000,0
-6757,1.71e+05,73171,0
-6817.2,1.73e+05,74027,0
-6732.4,1.75e+05,74882,0
-6716,1.7527e+05,75000,0
-6628.1,1.77e+05,75738,0
-6545.5,1.79e+05,76594,0
-6429.1,1.7995e+05,77000,0
-6291,1.81e+05,77450,0
-6289.2,1.83e+05,78306,0
-6253.5,1.8462e+05,79000,0
-6243.5,1.85e+05,79161,0
-6147.5,1.87e+05,80017,0
-6179.4,1.89e+05,80873,0
-6179.3,1.893e+05,81000,0
-6173.4,1.91e+05,81729,0
-6165.3,1.93e+05,82585,0
-6116.2,1.9397e+05,83000,0
-6064.4,1.95e+05,83440,0
-5975,1.97e+05,84296,0
-5946.7,1.9864e+05,85000,0
-5940.3,1.99e+05,85152,0
-5962.8,2.01e+05,86008,0
-5968.4,2.03e+05,86864,0
-5963.1,2.0332e+05,87000,0
-5936.4,2.05e+05,87719,0
-5889.6,2.07e+05,88575,0
-5823.9,2.0799e+05,89000,0
-5760.8,2.09e+05,89431,0
-5786.1,2.11e+05,90287,0
-5750.1,2.1267e+05,91000,0
-5742.7,2.13e+05,91143,0
-5653.3,2.15e+05,91998,0
-5640.3,2.17e+05,92854,0
-5632.8,2.1734e+05,93000,0
-5600.5,2.19e+05,93710,0
-5578.4,2.21e+05,94566,0
-5570.8,2.2201e+05,95000,0
-5562.9,2.23e+05,95422,0
-5546.3,2.25e+05,96277,0
-5537.9,2.2669e+05,97000,0
-5536.3,2.27e+05,97133,0
-5523.8,2.29e+05,97989,0
-5514.7,2.31e+05,98845,0
-5513.2,2.3136e+05,99000,0
-5508.6,2.33e+05,99701,0
-5496.4,2.35e+05,1.0056e+05,0
-5487.4,2.3604e+05,1.01e+05,0
-5477,2.37e+05,1.0141e+05,0
-5452,2.39e+05,1.0227e+05,0
-5456.8,2.4071e+05,1.03e+05,0
-5457.4,2.41e+05,1.0312e+05,0
-5437.9,2.43e+05,1.0398e+05,0
-5420.4,2.45e+05,1.0484e+05,0
-5417.4,2.4538e+05,1.05e+05,0
-5406.8,2.47e+05,1.0569e+05,0
-5393.4,2.49e+05,1.0655e+05,0
-5383,2.5006e+05,1.07e+05,0
-5371.4,2.51e+05,1.074e+05,0
-5361.1,2.53e+05,1.0826e+05,0
-5351.9,2.5473e+05,1.09e+05,0
-5350.8,2.55e+05,1.0911e+05,0
-5348.8,2.57e+05,1.0997e+05,0
-5329.7,2.59e+05,1.1083e+05,0
-5330.4,2.5941e+05,1.11e+05,0
-5327.1,2.61e+05,1.1168e+05,0
-5323.1,2.63e+05,1.1254e+05,0
-5317.8,2.6408e+05,1.13e+05,0
-5313.4,2.65e+05,1.1339e+05,0
-5316.6,2.67e+05,1.1425e+05,0
-5316.3,2.6875e+05,1.15e+05,0
-5316.2,2.69e+05,1.1511e+05,0
-5312.3,2.71e+05,1.1596e+05,0
-5340.2,2.73e+05,1.1682e+05,0
-5348.9,2.7343e+05,1.17e+05,0
-5381.3,2.75e+05,1.1767e+05,0
-5336.2,2.77e+05,1.1853e+05,0
-5328.3,2.781e+05,1.19e+05,0
-5322.7,2.79e+05,1.1938e+05,0
-5355.1,2.81e+05,1.2024e+05,0
-5382.1,2.8278e+05,1.21e+05,0
-5385.3,2.83e+05,1.211e+05,0
-5425.3,2.85e+05,1.2195e+05,0
-5445.9,2.87e+05,1.2281e+05,0
-5446.7,2.8745e+05,1.23e+05,0
-5447.4,2.89e+05,1.2366e+05,0
-5430.6,2.91e+05,1.2452e+05,0
-5414.5,2.9212e+05,1.25e+05,0
-5401.4,2.93e+05,1.2537e+05,0
-5368.1,2.95e+05,1.2623e+05,0
-5326.8,2.968e+05,1.27e+05,0
-5322.1,2.97e+05,1.2709e+05,0
-5286.4,2.99e+05,1.2794e+05,0
-5263.1,3.01e+05,1.288e+05,0
-5260.9,3.0147e+05,1.29e+05,0
-5253.6,3.03e+05,1.2965e+05,0
-5251.2,3.05e+05,1.3051e+05,0
-5247.6,3.0615e+05,1.31e+05,0
-5243.5,3.07e+05,1.3137e+05,0
-5236.5,3.09e+05,1.3222e+05,0
-5237.5,3.1082e+05,1.33e+05,0
-5237.7,3.11e+05,1.3308e+05,0
-5237.4,3.13e+05,1.3393e+05,0
-5232.5,3.15e+05,1.3479e+05,0
-5232.2,3.1549e+05,1.35e+05,0
-5231.2,3.17e+05,1.3564e+05,0
-5231.8,3.19e+05,1.365e+05,0
-5237.1,3.2017e+05,1.37e+05,0
-5241,3.21e+05,1.3736e+05,0
-5254.8,3.23e+05,1.3821e+05,0
-5261.5,3.2484e+05,1.39e+05,0
-5262.4,3.25e+05,1.3907e+05,0
-5274.3,3.27e+05,1.3992e+05,0
-5283.2,3.29e+05,1.4078e+05,0
-5283.4,3.2952e+05,1.41e+05,0
-5285.3,3.31e+05,1.4163e+05,0
-5281.4,3.33e+05,1.4249e+05,0
-5274.3,3.3419e+05,1.43e+05,0
-5268.8,3.35e+05,1.4335e+05,0
-5256.6,3.37e+05,1.442e+05,0
-5242.8,3.3886e+05,1.45e+05,0
-5241.6,3.39e+05,1.4506e+05,0
-5226.6,3.41e+05,1.4591e+05,0
-5216.8,3.43e+05,1.4677e+05,0
-5214.5,3.4354e+05,1.47e+05,0
-5208.4,3.45e+05,1.4763e+05,0
-5205.3,3.47e+05,1.4848e+05,0
-5206.9,3.4821e+05,1.49e+05,0
-5208.5,3.49e+05,1.4934e+05,0
-5213.3,3.51e+05,1.5019e+05,0
-5212.7,3.5289e+05,1.51e+05,0
-5212.8,3.53e+05,1.5105e+05,0
-5208,3.55e+05,1.519e+05,0
-5198.5,3.57e+05,1.5276e+05,0
-5196.8,3.5756e+05,1.53e+05,0
-5191.7,3.59e+05,1.5362e+05,0
-5182.5,3.61e+05,1.5447e+05,0
-5179.1,3.6223e+05,1.55e+05,0
-5177.3,3.63e+05,1.5533e+05,0
-5177.4,3.65e+05,1.5618e+05,0
-5173.3,3.6691e+05,1.57e+05,0
-5173.1,3.67e+05,1.5704e+05,0
-5177.5,3.69e+05,1.5789e+05,0
-5180.9,3.71e+05,1.5875e+05,0
-5184,3.7158e+05,1.59e+05,0
-5191.3,3.73e+05,1.5961e+05,0
-5211,3.75e+05,1.6046e+05,0
-5207.7,3.7626e+05,1.61e+05,0
-5204.2,3.77e+05,1.6132e+05,0
-5182.6,3.79e+05,1.6217e+05,0
-5181.2,3.8093e+05,1.63e+05,0
-5181.3,3.81e+05,1.6303e+05,0
-5191.2,3.83e+05,1.6389e+05,0
-5202.3,3.85e+05,1.6474e+05,0
-5204.1,3.856e+05,1.65e+05,0
-5205.6,3.87e+05,1.656e+05,0
-5206.5,3.89e+05,1.6645e+05,0
-5206.6,3.9028e+05,1.67e+05,0
-5207.3,3.91e+05,1.6731e+05,0
-5217.3,3.93e+05,1.6816e+05,0
-5217.8,3.9495e+05,1.69e+05,0
-5217.8,3.95e+05,1.6902e+05,0
-5217.3,3.97e+05,1.6988e+05,0
-5215,3.99e+05,1.7073e+05,0
-5214.8,3.9963e+05,1.71e+05,0
-5216.5,4.01e+05,1.7159e+05,0
-5221.9,4.03e+05,1.7244e+05,0
-5229.3,4.043e+05,1.73e+05,0
-5233.9,4.05e+05,1.733e+05,0
-5249.2,4.07e+05,1.7416e+05,0
-5266.4,4.0897e+05,1.75e+05,0
-5266.7,4.09e+05,1.7501e+05,0
-5283.7,4.11e+05,1.7587e+05,0
-5280.8,4.13e+05,1.7672e+05,0
-5278.7,4.1365e+05,1.77e+05,0
-5272.7,4.15e+05,1.7758e+05,0
-5257.5,4.17e+05,1.7843e+05,0
-5246.3,4.1832e+05,1.79e+05,0
-5240,4.19e+05,1.7929e+05,0
-5237.5,4.21e+05,1.8015e+05,0
-5242.1,4.23e+05,1.81e+05,0
-5242.1,4.23e+05,1.81e+05,0
-5248.8,4.25e+05,1.8186e+05,0
-5256.1,4.27e+05,1.8271e+05,0
-5257,4.2767e+05,1.83e+05,0
-5258.3,4.29e+05,1.8357e+05,0
-5262,4.31e+05,1.8442e+05,0
-5266.4,4.3234e+05,1.85e+05,0
-5269.2,4.33e+05,1.8528e+05,0
-5283.1,4.35e+05,1.8614e+05,0
-5299.5,4.37e+05,1.8699e+05,0
-5299.6,4.3702e+05,1.87e+05,0
-5310.1,4.39e+05,1.8785e+05,0
-5313.3,4.41e+05,1.887e+05,0
-5312.5,4.4169e+05,1.89e+05,0
-5307.6,4.43e+05,1.8956e+05,0
-5291.3,4.45e+05,1.9042e+05,0
-5278.5,4.4637e+05,1.91e+05,0
-5272.3,4.47e+05,1.9127e+05,0
-5259.6,4.49e+05,1.9213e+05,0
-5251.5,4.51e+05,1.9298e+05,0
-5251.2,4.5104e+05,1.93e+05,0
-5238.9,4.53e+05,1.9384e+05,0
-5237.4,4.55e+05,1.9469e+05,0
-5235.8,4.5571e+05,1.95e+05,0
-5233.8,4.57e+05,1.9555e+05,0
-5251.7,4.59e+05,1.9641e+05,0
-5266.3,4.6039e+05,1.97e+05,0
-5272,4.61e+05,1.9726e+05,0
-5277,4.63e+05,1.9812e+05,0
-5270.7,4.65e+05,1.9897e+05,0
-5271.7,4.6506e+05,1.99e+05,0
-5300.6,4.67e+05,1.9983e+05,0
-5301.5,4.69e+05,2.0068e+05,0
-5299.4,4.6974e+05,2.01e+05,0
-5295.4,4.71e+05,2.0154e+05,0
-5308,4.73e+05,2.024e+05,0
-5313.6,4.7441e+05,2.03e+05,0
